EmployeeID,Age,Department,Salary,YearsAtCompany,JobSatisfaction,Attrition
129,39,IT,81652,6,3,Yes
130,37,Sales,45655,4,1,Yes
131,25,Sales,84859,4,4,No
132,49,HR,93625,5,2,No
133,31,Sales,92098,3,4,Yes
134,33,HR,55251,1,2,Yes
135,48,HR,96877,8,1,No
136,25,HR,40526,5,4,Yes
137,36,IT,43224,3,4,No
138,32,IT,87837,7,1,No
139,48,IT,99597,7,4,Yes
140,35,HR,51536,1,2,No
141,43,IT,68541,9,4,Yes
142,41,IT,53547,2,3,Yes
143,32,Sales,91027,5,5,Yes
144,27,IT,74531,5,2,Yes
145,27,IT,48712,8,3,Yes
146,25,HR,78565,8,1,Yes
147,51,HR,49208,7,2,No
148,29,HR,96251,7,5,No
149,34,HR,45109,6,5,No
150,31,HR,95796,6,1,No
151,50,HR,89268,9,1,Yes
152,33,IT,75201,6,2,No
153,52,HR,94615,2,4,No
154,31,HR,56967,2,1,No
155,33,Sales,97738,5,4,Yes
156,32,IT,69759,4,3,No
157,36,IT,60172,2,5,Yes
158,26,IT,76935,3,4,No
159,25,HR,97617,7,5,Yes
160,40,HR,66589,8,4,Yes
161,47,HR,70015,6,3,No
162,47,Sales,69009,5,1,Yes
163,54,HR,57773,1,3,Yes
164,48,Sales,81125,8,1,No
165,29,IT,66143,3,1,No
166,27,HR,46154,6,5,No
167,36,Sales,61804,3,3,Yes
168,32,Sales,81688,7,4,Yes
169,46,HR,91195,7,3,Yes
170,51,IT,60581,9,5,No
171,27,IT,92648,5,1,Yes
172,25,IT,70087,8,5,Yes
173,27,Sales,89930,8,2,Yes
174,29,Sales,72981,1,2,Yes
175,39,Sales,43762,5,4,Yes
176,38,Sales,86167,3,5,Yes
177,27,IT,49768,1,4,Yes
178,25,HR,83408,4,4,No
179,29,Sales,79499,8,2,No
180,50,Sales,92269,3,4,No
181,47,IT,78559,2,2,Yes
182,38,HR,88590,9,1,Yes
183,31,HR,48783,5,5,No
184,51,IT,86389,7,4,Yes
185,33,IT,69781,2,2,No
186,39,HR,70811,9,3,Yes
187,39,Sales,88787,9,4,Yes
188,50,HR,75488,4,1,No
189,34,IT,48905,4,1,No
190,52,Sales,49127,6,3,No
191,37,Sales,62431,6,2,No
192,43,IT,97184,1,4,No
193,31,IT,89153,9,2,Yes
194,41,IT,46368,2,1,Yes
195,44,HR,67424,5,2,Yes
196,53,HR,86824,9,1,No
197,28,Sales,85004,4,2,No
198,54,IT,58333,3,3,No
199,29,Sales,63116,7,5,No
200,47,Sales,87219,6,3,No
201,31,Sales,96985,8,3,No
202,37,Sales,90069,3,5,Yes
203,39,IT,92326,5,5,Yes
204,35,Sales,83201,4,4,Yes
205,53,IT,55525,4,4,Yes
206,28,IT,63398,4,3,Yes
207,37,HR,72857,8,3,No
208,31,IT,90861,6,1,No
209,51,HR,50361,3,1,No
210,43,IT,56369,5,4,No
211,46,IT,43041,6,4,No
212,52,IT,40105,5,1,No
213,26,HR,49078,6,1,Yes
214,34,HR,65003,8,2,No
215,37,Sales,91047,7,2,No
216,54,HR,46090,5,1,No
217,49,HR,97660,6,2,No
218,45,HR,78850,4,5,Yes
219,30,HR,89786,9,4,Yes
220,52,Sales,41925,4,4,No
221,52,HR,58440,1,1,Yes
222,36,IT,79685,7,3,Yes
223,36,IT,92296,7,1,No
224,44,HR,99614,4,2,No
225,54,HR,66015,3,3,No
226,54,IT,73320,8,2,No
227,35,IT,65291,5,5,No
228,50,Sales,94535,7,2,Yes
229,47,IT,76679,4,5,No
230,52,IT,66289,4,5,No
231,49,HR,43389,8,2,No
232,31,IT,65683,8,2,Yes
233,54,Sales,53629,2,5,No
234,25,IT,64826,2,3,No
235,25,HR,75198,3,5,No
236,49,HR,66630,3,4,Yes
237,51,IT,73226,1,5,No
238,54,HR,86163,3,3,No
239,49,Sales,72975,6,4,No
240,44,Sales,40899,8,1,Yes
241,37,IT,51653,6,1,No
242,33,IT,67961,5,3,No
243,27,IT,56405,4,5,No
244,31,HR,48601,3,2,Yes
245,30,Sales,73662,4,3,No
246,32,Sales,73282,7,4,No
247,51,HR,96446,1,4,No
248,33,Sales,61288,7,1,Yes
249,54,IT,97019,1,4,Yes
250,29,IT,69545,2,3,No
251,25,IT,76877,4,4,Yes
252,43,Sales,86026,1,3,Yes
253,34,IT,55313,9,2,Yes
254,36,HR,55349,6,1,No
255,48,HR,47179,1,4,No
256,39,Sales,50326,1,3,Yes
257,51,HR,84555,6,5,Yes
258,46,HR,41560,4,1,Yes
259,48,Sales,53612,4,2,No
260,33,IT,57650,6,3,No
261,44,IT,66745,7,2,Yes
262,41,IT,71890,9,2,Yes
263,54,Sales,60022,5,4,Yes
264,41,HR,98093,9,4,Yes
265,50,IT,92579,4,3,No
266,44,IT,44780,2,5,Yes
267,36,Sales,58311,3,3,No
268,54,IT,68380,1,5,Yes
269,31,Sales,84662,6,2,Yes
270,26,HR,42356,6,1,Yes
271,27,Sales,44790,1,3,Yes
272,41,Sales,66911,3,3,Yes
273,29,Sales,89458,5,5,No
274,41,Sales,64363,3,2,Yes
275,48,HR,60049,3,2,Yes
276,41,HR,50181,3,5,Yes
277,51,IT,79825,5,2,No
278,41,HR,56082,5,4,No
279,26,HR,40661,4,1,No
280,26,IT,77412,1,3,No
281,52,HR,88479,5,1,Yes
282,46,Sales,97655,5,3,Yes
283,47,Sales,42920,4,4,Yes
284,29,IT,65658,6,2,No
285,25,IT,88770,4,5,Yes
286,25,IT,54025,7,4,Yes
287,43,Sales,48946,7,1,No
288,54,HR,68706,2,5,No
289,26,Sales,85500,3,2,No
290,45,IT,79004,1,4,Yes
291,36,HR,56309,8,5,Yes
292,50,HR,95230,9,4,No
293,30,Sales,86286,4,4,Yes
294,47,IT,73120,6,2,No
295,28,Sales,98246,9,3,No
296,47,HR,70027,6,5,Yes
297,35,Sales,47005,9,2,No
298,48,Sales,86804,4,4,No
299,51,IT,89310,8,2,No
300,41,IT,99321,9,3,Yes
301,30,HR,40956,4,5,No
302,48,Sales,74839,5,3,No
303,29,Sales,48595,8,1,No
304,44,Sales,87908,6,5,No
305,26,HR,52803,7,3,No
306,30,HR,65963,3,4,No
307,46,IT,76221,7,5,No
308,35,IT,79443,8,5,Yes
309,40,IT,73723,6,2,Yes
310,40,Sales,79063,9,4,No
311,25,Sales,88689,6,1,Yes
312,33,IT,90864,9,3,Yes
313,52,Sales,55282,4,2,No
314,51,IT,44703,8,3,Yes
315,30,HR,46563,4,1,No
316,40,IT,65849,2,1,No
317,53,HR,71860,9,5,No
318,27,Sales,71585,5,1,No
319,44,IT,62015,4,3,No
320,52,Sales,52003,2,4,Yes
321,51,HR,83585,1,4,No
322,28,HR,66958,7,5,Yes
323,43,HR,66017,6,3,No
324,50,Sales,51171,2,3,No
325,27,Sales,99141,8,1,No
326,43,Sales,85350,4,3,Yes
327,44,Sales,52201,8,2,No
328,31,HR,69426,7,1,No
329,44,HR,57778,5,2,No
330,33,IT,85241,8,5,No
331,25,IT,82229,9,4,Yes
332,32,Sales,61116,5,5,No
333,31,HR,92866,5,4,Yes
334,42,HR,88364,2,5,No
335,32,HR,73297,5,3,Yes
336,25,IT,59342,3,2,Yes
337,35,IT,97056,7,4,No
338,52,HR,67490,5,1,No
339,49,HR,59975,8,2,Yes
340,49,HR,66723,1,1,No
341,42,IT,63279,3,2,No
342,47,HR,52765,3,2,No
343,54,HR,86678,9,5,Yes
344,34,Sales,51561,5,4,No
345,27,Sales,81899,9,4,No
346,31,IT,40525,9,2,No
347,52,HR,62861,1,3,Yes
348,40,HR,89153,2,3,No
349,50,Sales,73142,5,1,Yes
350,40,IT,66916,4,1,No
351,49,Sales,84965,9,5,Yes
352,44,Sales,44648,7,2,No
353,52,Sales,75133,6,1,No
354,41,Sales,90677,7,1,Yes
355,26,HR,70523,1,2,Yes
356,25,HR,69052,1,5,Yes
357,40,Sales,74414,8,1,No
358,54,IT,72781,2,5,No
359,36,IT,44599,9,4,No
360,29,IT,75046,7,5,No
361,29,IT,87064,6,3,Yes
362,51,Sales,75923,1,3,No
363,47,HR,81089,1,5,No
364,33,IT,43814,2,3,No
365,33,Sales,85893,6,4,No
366,27,IT,75984,6,2,No
367,43,IT,66616,2,3,No
368,40,Sales,97371,1,3,No
369,40,HR,42113,5,5,Yes
370,27,HR,98596,5,4,No
371,44,Sales,93508,2,2,No
372,48,HR,83006,6,5,No
373,46,Sales,53760,9,5,No
374,48,Sales,61927,2,4,Yes
375,25,Sales,60939,2,2,Yes
376,48,HR,72419,3,4,Yes
377,44,Sales,52588,7,2,Yes
378,35,IT,96214,6,4,Yes
379,41,HR,76142,8,5,Yes
380,32,HR,79198,8,5,No
381,28,HR,92618,6,1,Yes
382,30,HR,92233,3,3,Yes
383,32,IT,84738,3,4,No
384,44,HR,73397,1,1,Yes
385,54,HR,56653,7,3,No
386,27,Sales,50831,5,4,No
387,40,HR,99337,4,2,Yes
388,54,IT,45724,4,3,No
389,49,IT,95049,4,5,Yes
390,27,IT,51083,6,1,Yes
391,49,IT,85917,8,3,No
392,53,HR,59816,8,3,No
393,42,HR,82240,5,5,Yes
394,38,IT,46276,6,4,No
395,42,IT,88403,4,2,No
396,26,HR,78663,9,5,Yes
397,46,IT,53994,8,2,Yes
398,27,Sales,63499,1,4,No
399,40,IT,63040,2,3,Yes
400,53,IT,83320,9,2,Yes
401,33,Sales,56959,8,1,Yes
402,28,Sales,96181,3,1,Yes
403,25,HR,46099,8,5,Yes
404,28,HR,82267,1,4,Yes
405,25,Sales,59576,4,5,Yes
406,38,Sales,75946,3,5,No
407,45,HR,95204,6,5,Yes
408,40,IT,91886,7,1,No
409,44,Sales,46116,4,1,No
410,48,HR,55563,7,5,No
411,32,IT,66788,9,1,Yes
412,31,Sales,66928,2,4,Yes
413,27,IT,76336,3,5,No
414,41,HR,49847,5,1,Yes
415,25,Sales,66155,3,2,No
416,40,IT,54135,8,5,Yes
417,36,Sales,91355,8,5,Yes
418,51,IT,57774,8,4,No
419,43,HR,41742,9,3,No
420,46,HR,58309,4,3,No
421,47,Sales,40619,5,4,Yes
422,46,IT,57658,5,4,No
423,38,Sales,90108,8,4,Yes
424,54,Sales,74707,7,3,Yes
425,30,IT,60337,9,4,Yes
426,30,IT,99725,8,1,No
427,37,IT,56001,2,5,No
428,43,HR,40968,4,5,No
429,46,Sales,87614,6,2,Yes
430,32,Sales,65892,2,2,Yes
431,51,HR,65619,7,5,No
432,51,IT,40281,3,1,Yes
433,26,HR,67420,3,3,Yes
434,45,HR,55360,2,3,No
435,54,HR,79030,8,1,No
436,25,Sales,41058,6,3,No
437,52,HR,60677,1,4,Yes
438,39,Sales,50724,1,5,Yes
439,25,Sales,68404,7,5,Yes
440,29,Sales,77946,8,1,Yes
441,52,IT,79748,5,3,Yes
442,53,Sales,69856,5,2,No
443,40,Sales,49200,4,2,Yes
444,43,IT,73997,6,3,Yes
445,28,Sales,65611,6,2,Yes
446,27,HR,93737,3,1,No
447,41,HR,81235,9,1,No
448,41,Sales,91892,7,3,No
449,36,IT,75057,1,2,Yes
450,52,HR,41239,7,1,No
451,54,IT,78138,5,1,No
452,53,IT,88938,5,4,No
453,38,HR,40125,2,4,Yes
454,45,IT,85272,4,1,No
455,30,HR,63857,6,3,Yes
456,27,IT,98552,7,5,Yes
457,52,HR,55398,5,5,No
458,33,Sales,94494,9,1,Yes
459,29,HR,96503,3,1,No
460,48,HR,46638,1,1,Yes
461,53,HR,46570,4,3,No
462,41,HR,43249,9,4,No
463,38,IT,49110,4,1,No
464,45,Sales,80363,2,1,Yes
465,27,HR,53605,5,2,No
466,52,IT,52115,3,3,Yes
467,25,Sales,79062,9,1,No
468,44,Sales,62911,4,2,Yes
469,53,Sales,78525,6,5,Yes
470,45,Sales,72556,2,1,No
471,47,HR,52595,6,1,No
472,25,HR,41969,3,2,No
473,27,IT,83753,9,3,No
474,42,IT,57275,2,1,No
475,49,IT,44470,9,5,Yes
476,34,Sales,96327,5,1,No
477,46,Sales,50225,8,5,No
478,50,HR,82324,2,4,Yes
479,27,Sales,97472,6,4,No
480,32,Sales,81974,3,5,No
481,38,Sales,82759,5,3,Yes
482,48,IT,63196,8,1,No
483,42,IT,80287,1,1,No
484,39,HR,53669,5,4,No
485,46,Sales,77380,3,5,Yes
486,47,Sales,98862,4,1,No
487,26,HR,85141,2,1,Yes
488,51,Sales,90350,9,3,No
489,34,Sales,88320,3,2,Yes
490,26,IT,87414,2,4,No
491,50,HR,78006,9,4,Yes
492,41,HR,55577,7,2,Yes
493,32,HR,99818,6,1,Yes
494,25,HR,62473,1,3,Yes
495,33,IT,95409,5,3,Yes
496,35,IT,68625,3,4,Yes
497,46,Sales,55504,1,3,No
498,40,Sales,64089,4,2,No
499,31,Sales,76487,2,1,Yes
500,53,Sales,40302,2,2,Yes
501,34,IT,71463,3,5,Yes
502,47,HR,84912,8,4,Yes
503,50,IT,69259,8,3,No
504,27,Sales,90138,7,5,Yes
505,42,IT,82823,6,3,No
506,49,HR,77208,9,1,No
507,48,HR,94061,4,1,Yes
508,37,IT,70659,1,1,Yes
509,52,IT,75840,8,3,No
510,50,IT,71890,7,5,No
511,31,Sales,53598,7,1,Yes
512,49,IT,87055,3,5,Yes
513,28,IT,86733,4,3,Yes
514,37,IT,59508,9,5,No
515,44,HR,82287,6,3,No
516,25,HR,53380,5,3,Yes
517,32,Sales,66984,3,4,No
518,38,Sales,84633,9,3,No
519,40,HR,48125,5,3,Yes
520,38,HR,76059,5,2,Yes
521,36,HR,44033,4,1,No
522,43,IT,77873,4,4,No
523,47,IT,57087,1,4,Yes
524,39,HR,80901,7,4,Yes
525,52,IT,89726,9,2,Yes
526,26,IT,45704,3,3,Yes
527,26,Sales,47848,2,1,Yes
528,47,HR,61592,3,5,No
529,46,HR,85743,1,3,No
530,43,IT,46924,6,2,No
531,49,HR,67208,7,3,No
532,50,Sales,92980,2,3,Yes
533,54,Sales,59614,8,2,Yes
534,53,Sales,40488,6,4,Yes
535,46,HR,79882,4,4,No
536,50,HR,65923,5,1,No
537,50,HR,88508,8,1,No
538,46,HR,75941,3,4,Yes
539,41,HR,69165,3,5,No
540,44,Sales,41667,4,3,Yes
541,34,IT,66213,1,5,Yes
542,30,Sales,44114,9,3,Yes
543,39,HR,76321,8,4,Yes
544,46,Sales,47761,8,1,Yes
545,35,HR,71116,6,1,Yes
546,52,HR,73768,7,5,No
547,29,Sales,88406,6,1,Yes
548,25,HR,65426,9,4,Yes
549,32,IT,57772,3,5,No
550,45,HR,78218,3,3,Yes
551,52,IT,43712,3,1,No
552,36,IT,41367,3,2,No
553,36,HR,80957,9,1,No
554,29,Sales,81781,4,3,Yes
555,31,IT,89606,7,5,Yes
556,28,Sales,66200,9,3,No
557,30,IT,91924,7,2,Yes
558,37,HR,43726,9,4,Yes
559,44,HR,63616,3,1,No
560,54,IT,67723,4,5,No
561,39,HR,77574,8,4,Yes
562,27,IT,74958,6,3,No
563,47,HR,49108,5,5,No
564,32,Sales,52178,4,4,No
565,44,HR,75643,8,5,Yes
566,40,Sales,71324,1,2,Yes
567,37,HR,78360,9,2,Yes
568,42,Sales,57824,1,1,No
569,52,HR,85360,8,1,Yes
570,34,Sales,48927,4,2,No
571,54,IT,68144,9,5,Yes
572,43,IT,71010,5,2,Yes
573,41,Sales,62443,3,1,No
574,48,HR,54437,9,2,Yes
575,43,Sales,84298,9,2,No
576,52,HR,79778,4,5,Yes
577,50,IT,51207,4,4,Yes
578,47,HR,96269,8,1,No
579,50,IT,65537,2,5,No
580,29,HR,75757,9,2,No
581,50,HR,52040,6,2,Yes
582,45,HR,81986,9,4,Yes
583,54,Sales,62612,8,1,Yes
584,47,Sales,68441,7,1,No
585,33,IT,46471,1,3,No
586,36,IT,75631,3,1,No
587,45,Sales,83461,2,4,Yes
588,25,IT,66523,5,3,Yes
589,50,Sales,71348,5,3,No
590,50,HR,41177,5,2,Yes
591,25,IT,44760,4,2,No
592,39,IT,72779,5,1,Yes
593,26,Sales,61636,3,3,Yes
594,54,IT,56353,1,2,No
595,46,IT,93551,5,4,Yes
596,40,HR,51556,9,2,Yes
597,49,IT,67598,9,2,No
598,32,HR,51563,4,3,No
599,37,Sales,86819,3,3,Yes
600,45,IT,83790,1,5,No
601,25,HR,48234,2,4,Yes
602,40,Sales,65519,8,3,No
603,53,IT,66966,1,1,Yes
604,31,Sales,94597,8,4,Yes
605,29,IT,56173,7,4,No
606,46,Sales,99889,8,3,Yes
607,53,Sales,66987,6,4,Yes
608,47,HR,53178,9,3,No
609,27,Sales,79338,3,2,No
610,36,IT,98348,4,5,Yes
611,50,IT,64596,6,2,No
612,40,HR,73174,8,3,No
613,43,IT,81974,5,3,Yes
614,29,IT,44431,3,2,Yes
615,46,IT,99182,6,1,No
616,49,Sales,67764,4,1,No
617,53,Sales,61627,9,1,No
618,38,IT,79310,3,3,Yes
619,52,HR,96088,4,4,Yes
620,29,Sales,48906,7,3,Yes
621,39,HR,76914,7,4,Yes
622,41,IT,84814,4,2,Yes
623,54,IT,85379,6,5,Yes
624,38,Sales,53076,3,4,Yes
625,54,IT,89292,6,1,No
626,44,Sales,77650,2,3,No
627,29,IT,86881,8,2,Yes
628,36,IT,86413,2,1,Yes
629,40,Sales,46012,7,2,Yes
630,50,Sales,90115,9,5,No
631,50,Sales,47151,1,3,Yes
632,40,IT,97716,8,3,No
633,45,IT,68211,7,5,No
634,31,HR,67117,6,3,No
635,28,Sales,76378,6,4,No
636,25,IT,82652,6,2,No
637,54,IT,46894,9,1,Yes
638,54,Sales,53467,2,5,Yes
639,29,HR,71010,1,4,No
640,47,Sales,96463,6,1,Yes
641,50,HR,89257,8,1,No
642,34,IT,94691,3,5,No
643,46,HR,82641,1,4,Yes
644,29,IT,52289,9,1,Yes
645,28,Sales,84976,1,1,Yes
646,26,Sales,83596,3,4,Yes
647,44,Sales,63171,8,3,Yes
648,34,HR,74905,3,1,No
649,50,IT,60829,4,2,Yes
650,43,Sales,92682,8,4,Yes
651,50,Sales,74054,1,1,Yes
652,25,IT,88478,6,5,No
653,48,Sales,84139,1,2,Yes
654,29,IT,88713,1,1,No
655,37,IT,69734,8,2,Yes
656,28,IT,47052,4,2,Yes
657,40,IT,43654,1,3,No
658,48,IT,63486,7,2,Yes
659,40,HR,58743,5,3,Yes
660,47,Sales,88368,5,4,No
661,26,HR,64489,1,3,Yes
662,41,Sales,48636,6,5,No
663,52,HR,46441,9,1,No
664,51,IT,94199,9,4,No
665,44,Sales,64611,8,4,No
666,48,Sales,94355,5,5,No
667,36,HR,82435,1,3,Yes
668,42,HR,52149,9,1,Yes
669,27,Sales,74566,1,3,Yes
670,52,HR,99189,8,2,No
671,25,HR,82368,5,3,No
672,25,HR,61675,3,4,No
673,53,IT,45495,7,1,No
674,43,IT,82668,7,3,Yes
675,35,HR,53673,9,1,Yes
676,29,HR,51130,7,1,No
677,36,IT,62668,3,2,No
678,27,IT,55222,1,2,Yes
679,25,Sales,63669,8,4,No
680,25,Sales,74068,3,5,No
681,32,IT,63253,8,1,No
682,34,HR,49435,8,5,Yes
683,35,HR,68552,5,4,Yes
684,36,HR,92249,1,1,No
685,53,HR,77384,7,1,Yes
686,37,Sales,56393,5,5,No
687,36,IT,50617,8,3,No
688,38,HR,78520,9,2,Yes
689,26,Sales,49852,7,3,No
690,53,HR,71401,7,5,No
691,43,IT,99975,1,2,Yes
692,42,Sales,46295,4,3,No
693,27,IT,93967,2,2,No
694,47,IT,90224,2,1,No
695,41,Sales,75993,2,3,Yes
696,50,Sales,74084,4,2,No
697,32,Sales,94851,1,2,Yes
698,53,Sales,85105,4,2,No
699,50,Sales,79575,2,3,No
700,34,Sales,95826,5,4,No
701,50,Sales,76451,3,3,No
702,54,HR,47227,8,5,Yes
703,26,IT,71910,4,3,Yes
704,43,Sales,76041,1,2,No
705,33,HR,63384,1,1,No
706,31,HR,40145,3,3,No
707,28,HR,77778,9,3,No
708,50,IT,56035,7,2,No
709,45,Sales,43040,2,1,No
710,42,HR,82422,9,1,No
711,37,IT,66160,2,5,No
712,35,IT,89634,3,3,Yes
713,53,IT,92331,2,1,Yes
714,48,HR,57633,3,1,Yes
715,28,Sales,69344,6,4,No
716,49,HR,57014,9,4,No
717,45,HR,54996,9,1,No
718,53,Sales,89104,7,5,Yes
719,49,Sales,81621,3,1,No
720,28,Sales,51695,4,2,Yes
721,34,IT,42852,6,3,No
722,29,Sales,56014,5,5,Yes
723,33,HR,67042,2,2,Yes
724,48,Sales,73755,6,5,Yes
725,27,HR,80390,3,2,No
726,41,IT,63711,8,3,Yes
727,27,HR,66122,2,3,No
728,40,HR,97993,1,4,No
729,28,Sales,49160,9,2,No
730,42,Sales,67213,3,4,No
731,41,HR,90252,1,2,No
732,31,Sales,79420,7,4,Yes
733,48,IT,97784,5,3,No
734,47,IT,47421,5,5,No
735,54,Sales,61400,1,4,No
736,29,IT,73537,9,2,No
737,36,Sales,57727,7,2,No
738,41,HR,86882,8,3,Yes
739,47,HR,44358,9,2,Yes
740,37,IT,68482,6,1,No
741,47,Sales,98921,5,5,Yes
742,49,Sales,72117,6,4,Yes
743,27,IT,63164,2,5,No
744,33,HR,71910,4,3,Yes
745,54,IT,72496,3,4,No
746,41,HR,95754,7,4,Yes
747,41,Sales,84311,9,1,Yes
748,54,HR,69371,5,3,Yes
749,44,IT,91501,6,2,No
750,40,Sales,78467,2,1,Yes
751,49,IT,57625,3,1,Yes
752,46,IT,73893,3,5,No
753,37,HR,50793,9,5,No
754,51,IT,71007,7,5,Yes
755,43,HR,65766,8,1,No
756,41,Sales,79532,9,2,Yes
757,28,HR,94253,6,4,Yes
758,36,Sales,52323,4,5,No
759,53,HR,85799,1,2,No
760,33,IT,86820,8,3,No
761,43,HR,85408,7,5,Yes
762,36,HR,47843,2,4,No
763,33,Sales,54210,8,3,Yes
764,31,IT,56456,5,3,No
765,52,HR,71367,7,4,Yes
766,38,IT,94624,4,5,No
767,44,HR,50106,5,1,Yes
768,43,HR,77957,8,4,No
769,50,IT,42472,1,4,Yes
770,39,HR,89859,1,4,No
771,40,IT,90956,4,3,No
772,45,HR,46704,3,2,Yes
773,29,Sales,43713,2,1,No
774,27,IT,45051,3,5,Yes
775,36,HR,50756,1,5,Yes
776,49,HR,42475,1,2,No
777,44,Sales,76378,6,4,Yes
778,51,IT,44255,5,1,No
779,45,HR,54484,8,5,No
780,28,Sales,96549,2,5,Yes
781,45,HR,74503,4,4,No
782,47,IT,98929,8,2,Yes
783,40,HR,48258,6,1,Yes
784,49,HR,80747,1,2,No
785,31,HR,75196,4,2,No
786,37,HR,85113,1,1,Yes
787,45,Sales,80194,2,1,Yes
788,34,Sales,48533,5,5,No
789,50,IT,72581,8,5,No
790,31,Sales,45249,8,1,No
791,38,Sales,94443,3,3,No
792,50,IT,59201,4,5,Yes
793,29,Sales,98576,6,3,No
794,27,Sales,93026,3,1,Yes
795,47,IT,99745,2,5,Yes
796,53,IT,49686,6,2,No
797,35,IT,86877,5,1,Yes
798,35,HR,93363,5,4,No
799,42,HR,72007,5,3,Yes
800,39,IT,40661,5,1,No
801,36,IT,84843,3,1,Yes
802,33,IT,70137,7,5,Yes
803,34,HR,87556,6,5,No
804,50,HR,82828,4,5,No
